dataset_name,group,winner,acc_iclv2_ensmble32,acc_ttt_step8,delta_pp,delta_correct_est,change_strength,n_train_iclv2_ensmble32,n_test_compare,n_features_iclv2_ensmble32,n_classes_iclv2_ensmble32,task_type_iclv2_ensmble32,acc_bin,train_bin,feature_bin,class_bin,n_num_features_json,n_cat_features_json,feature_modality,imbalance_ratio,imbalance_bin,source_family,domain_tag,ttt_applied_bool,ttt_steps,ttt_split_reason,analysis_reason,recommendation,source,info_json_path
Fitness_Club_c,ICLv2更高,iclv2_ensmble32,0.8033333333333333,0.7966666666666666,-0.666666666666671,-2.000000000000013,medium,1200,300,6,2,binclass,0.8-0.9,1k-5k,<=10,2,3,3,mixed,,unknown,kaggle,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；数值+类别混合，类别编码稳定性会影响 TTT,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.kaggle.com/datasets/ddosad/datacamps-data-science-associate-certification,data178/Fitness_Club_c/info.json
contraceptive_method_choice,ICLv2更高,iclv2_ensmble32,0.6372881355932203,0.6305084745762712,-0.6779661016949046,-1.9999999999999685,medium,1178,295,9,3,multiclass,0.6-0.7,1k-5k,<=10,3-5,5,4,mixed,,unknown,uci,other,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；test 较小，几个样本就能造成 pp 级变化；数值+类别混合，类别编码稳定性会影响 TTT,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://archive.ics.uci.edu/dataset/30/contraceptive+method+choice,data178/contraceptive_method_choice/info.json
golf_play_dataset_extended,ICLv2更高,iclv2_ensmble32,0.9452054794520548,0.9360730593607306,-0.91324200913242,-2.0,medium,876,219,9,2,binclass,0.9-0.95,<=1k,<=10,2,3,6,mixed,,unknown,kaggle,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；数值+类别混合，类别编码稳定性会影响 TTT,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.kaggle.com/datasets/samybaladram/golf-play-extended,data178/golf_play_dataset_extended/info.json
pc3,ICLv2更高,iclv2_ensmble32,0.9009584664536742,0.8913738019169329,-0.9584664536741228,-3.0000000000000044,medium,1250,313,37,2,binclass,0.9-0.95,1k-5k,31-80,2,37,0,numeric_only,8.76875,>5,openml,vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导；类别不平衡明显；视觉/传感器/模式类常有较强局部结构,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=1050&sort=runs,data178/pc3/info.json
statlog,ICLv2更高,iclv2_ensmble32,0.73,0.72,-1.0000000000000009,-2.0000000000000018,medium,800,200,20,2,binclass,0.7-0.8,<=1k,11-30,2,7,13,mixed,,unknown,uci,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；test 较小，几个样本就能造成 pp 级变化；下降超过 1pp，应进入 TTT 风险集；数值+类别混合，类别编码稳定性会影响 TTT,列入风险集；默认 baseline/ICLv2 或缩短 TTT。,https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data,data178/statlog/info.json
segment,ICLv2更高,iclv2_ensmble32,0.9545454545454546,0.9437229437229436,-1.0822510822510956,-5.000000000000061,medium,1848,462,17,7,multiclass,>0.95,1k-5k,11-30,6-10,17,0,numeric_only,1.0,<=1.2,openml,vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降超过 1pp，应进入 TTT 风险集；纯数值特征占主导；类别较均衡；视觉/传感器/模式类常有较强局部结构,列入风险集；默认 baseline/ICLv2 或缩短 TTT。,https://www.openml.org/search?type=data&status=active&id=36&sort=runs,data178/segment/info.json
Gender_Gap_in_Spanish_WP,ICLv2更高,iclv2_ensmble32,0.6147368421052631,0.6031578947368421,-1.1578947368421022,-10.999999999999972,strong,3796,950,13,3,multiclass,0.6-0.7,1k-5k,11-30,3-5,13,0,numeric_only,,unknown,uci,other,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；下降超过 1pp，应进入 TTT 风险集；纯数值特征占主导,列入风险集；默认 baseline/ICLv2 或缩短 TTT。,https://archive.ics.uci.edu/dataset/852/gender+gap+in+spanish+wp,data178/Gender_Gap_in_Spanish_WP/info.json
wine-quality-red,ICLv2更高,iclv2_ensmble32,0.68125,0.66875,-1.2500000000000069,-4.000000000000021,medium,1279,320,4,6,multiclass,0.6-0.7,1k-5k,<=10,6-10,4,0,numeric_only,68.1,>5,openml,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；test 较小，几个样本就能造成 pp 级变化；下降超过 1pp，应进入 TTT 风险集；纯数值特征占主导；类别不平衡明显,列入风险集；默认 baseline/ICLv2 或缩短 TTT。,https://www.openml.org/search?type=data&status=active&id=40691&sort=runs,data178/wine-quality-red/info.json
Diabetic_Retinopathy_Debrecen,ICLv2更高,iclv2_ensmble32,0.7402597402597403,0.7272727272727273,-1.2987012987012991,-3.000000000000001,medium,920,231,19,2,binclass,0.7-0.8,<=1k,11-30,2,16,3,mixed,,unknown,uci,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；test 较小，几个样本就能造成 pp 级变化；下降超过 1pp，应进入 TTT 风险集；数值+类别混合，类别编码稳定性会影响 TTT,列入风险集；默认 baseline/ICLv2 或缩短 TTT。,https://archive.ics.uci.edu/dataset/329/diabetic+retinopathy+debrecen,data178/Diabetic_Retinopathy_Debrecen/info.json
first-order-theorem-proving,ICLv2更高,iclv2_ensmble32,0.6511437908496732,0.6372549019607843,-1.388888888888895,-17.000000000000075,strong,4894,1224,51,6,multiclass,0.6-0.7,1k-5k,31-80,6-10,51,0,numeric_only,5.255144032921811,>5,openml,text/sequence/symbolic,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；下降超过 1pp，应进入 TTT 风险集；纯数值特征占主导；类别不平衡明显,列入风险集；默认 baseline/ICLv2 或缩短 TTT。,https://www.openml.org/search?type=data&status=active&id=1475&sort=runs,data178/first-order-theorem-proving/info.json
autoUniv-au4-2500,ICLv2更高,iclv2_ensmble32,0.728,0.712,-1.6000000000000014,-8.000000000000007,medium,2000,500,100,3,multiclass,0.7-0.8,1k-5k,>80,3-5,58,42,mixed,5.98469387755102,>5,openml,text/sequence/symbolic; synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；下降超过 1pp，应进入 TTT 风险集；数值+类别混合，类别编码稳定性会影响 TTT；类别不平衡明显；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声,列入风险集；默认 baseline/ICLv2 或缩短 TTT。,https://www.openml.org/search?type=data&status=active&id=1548&sort=runs,data178/autoUniv-au4-2500/info.json
steel_plates_faults,ICLv2更高,iclv2_ensmble32,0.8483290488431876,0.8277634961439588,-2.0565552699228773,-7.999999999999993,medium,1552,389,27,7,multiclass,0.8-0.9,1k-5k,11-30,6-10,25,2,mixed,,unknown,uci,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；下降超过 1pp，应进入 TTT 风险集；数值+类别混合，类别编码稳定性会影响 TTT,列入风险集；默认 baseline/ICLv2 或缩短 TTT。,https://archive.ics.uci.edu/dataset/198/steel+plates+faults,data178/steel_plates_faults/info.json
waveform_database_generator,ICLv2更高,iclv2_ensmble32,0.354,0.332,-2.1999999999999966,-21.999999999999964,strong,3999,1000,21,3,multiclass,<=0.6,1k-5k,11-30,3-5,21,0,numeric_only,,unknown,uci,synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；下降超过 1pp，应进入 TTT 风险集；纯数值特征占主导；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声,列入风险集；默认 baseline/ICLv2 或缩短 TTT。,https://archive.ics.uci.edu/dataset/108/waveform+database+generator+version+2,data178/waveform_database_generator/info.json
jungle_chess_2pcs_raw_endgame_complete,TTT更高,ttt_step8,0.892458723784025,0.933065595716198,4.060687193217294,363.99999999999824,strong,35855,8964,6,3,multiclass,0.8-0.9,>20k,<=10,3-5,6,0,numeric_only,5.3199538638985,>5,openml,synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；净变化约 +364 个预测，属于实质性贡献；提升幅度超过 1pp，是优先保留的候选正样本；纯数值特征占主导；类别不平衡明显,可作为 TTT 正样本；下一步验证 step4/8/12 选择器是否能稳定选中。,https://www.openml.org/search?type=data&status=active&id=41027&sort=runs,data178/jungle_chess_2pcs_raw_endgame_complete/info.json
compass,TTT更高,ttt_step8,0.8305797536797838,0.8618203664764194,3.124061279663559,103.99999999999989,strong,13315,3329,17,2,binclass,0.8-0.9,5k-20k,11-30,2,8,9,mixed,1.0,<=1.2,openml,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；净变化约 +104 个预测，属于实质性贡献；提升幅度超过 1pp，是优先保留的候选正样本；数值+类别混合，类别编码稳定性会影响 TTT；类别较均衡,可作为 TTT 正样本；下一步验证 step4/8/12 选择器是否能稳定选中。,https://www.openml.org/search?type=data&status=active&id=44162&sort=runs,data178/compass/info.json
eye_movements,TTT更高,ttt_step8,0.8354661791590493,0.8656307129798904,3.0164533820841055,66.00000000000023,strong,8748,2188,27,3,multiclass,0.8-0.9,5k-20k,11-30,3-5,24,3,mixed,1.4850174216027874,1.2-2,openml,text/sequence/symbolic; vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；净变化约 +66 个预测，属于实质性贡献；提升幅度超过 1pp，是优先保留的候选正样本；数值+类别混合，类别编码稳定性会影响 TTT；视觉/传感器/模式类常有较强局部结构,可作为 TTT 正样本；下一步验证 step4/8/12 选择器是否能稳定选中。,https://www.openml.org/search?type=data&status=active&id=1044&sort=runs,data178/eye_movements/info.json
mfeat-morphological,TTT更高,ttt_step8,0.77,0.795,2.500000000000002,10.000000000000009,strong,1600,400,6,10,multiclass,0.7-0.8,1k-5k,<=10,6-10,6,0,numeric_only,1.0,<=1.2,openml,vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；test 较小，几个样本就能造成 pp 级变化；提升幅度超过 1pp，是优先保留的候选正样本；纯数值特征占主导；类别较均衡,可作为 TTT 正样本；下一步验证 step4/8/12 选择器是否能稳定选中。,https://www.openml.org/search?type=data&status=active&id=18&sort=runs,data178/mfeat-morphological/info.json
eye_movements_bin,TTT更高,ttt_step8,0.6550591327201051,0.6780551905387647,2.2996057818659654,34.99999999999999,strong,6086,1522,20,2,binclass,0.6-0.7,5k-20k,11-30,2,20,0,numeric_only,1.0,<=1.2,openml,text/sequence/symbolic; vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；提升幅度超过 1pp，是优先保留的候选正样本；纯数值特征占主导；类别较均衡；视觉/传感器/模式类常有较强局部结构,可作为 TTT 正样本；下一步验证 step4/8/12 选择器是否能稳定选中。,https://www.openml.org/search?type=data&status=active&id=44130&sort=runs,data178/eye_movements_bin/info.json
Pima_Indians_Diabetes_Database,TTT更高,ttt_step8,0.7272727272727273,0.7467532467532467,1.9480519480519431,2.9999999999999925,medium,614,154,8,2,binclass,0.7-0.8,<=1k,<=10,2,8,0,numeric_only,,unknown,kaggle,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；test 较小，几个样本就能造成 pp 级变化；提升幅度超过 1pp，是优先保留的候选正样本；纯数值特征占主导,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database,data178/Pima_Indians_Diabetes_Database/info.json
banknote_authentication,TTT更高,ttt_step8,0.5381818181818182,0.5563636363636364,1.8181818181818188,5.000000000000002,medium,1097,275,4,2,binclass,<=0.6,1k-5k,<=10,2,4,0,numeric_only,,unknown,uci,other,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；test 较小，几个样本就能造成 pp 级变化；提升幅度超过 1pp，是优先保留的候选正样本；纯数值特征占主导,可保留 TTT，但建议加入保护性早停或 step selector。,https://archive.ics.uci.edu/dataset/267/banknote+authentication,data178/banknote_authentication/info.json
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,TTT更高,ttt_step8,0.595,0.61,1.500000000000001,6.000000000000005,medium,1600,400,7,2,binclass,<=0.6,1k-5k,<=10,2,3,4,mixed,1.244668911335578,1.2-2,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；test 较小，几个样本就能造成 pp 级变化；提升幅度超过 1pp，是优先保留的候选正样本；数值+类别混合，类别编码稳定性会影响 TTT,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=44528&sort=runs,data178/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True/info.json
hill-valley,TTT更高,ttt_step8,0.97119341563786,0.9835390946502056,1.2345679012345625,2.9999999999999862,medium,969,243,100,2,binclass,>0.95,<=1k,>80,2,100,0,numeric_only,1.0,<=1.2,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；test 较小，几个样本就能造成 pp 级变化；提升幅度超过 1pp，是优先保留的候选正样本；纯数值特征占主导；类别较均衡,收益受 ceiling 限制，不值得为这类数据过度调参。,https://www.openml.org/search?type=data&status=active&id=1479&sort=runs,data178/hill-valley/info.json
kc1,TTT更高,ttt_step8,0.8720379146919431,0.8838862559241706,1.1848341232227444,4.999999999999981,medium,1687,422,21,2,binclass,0.8-0.9,1k-5k,11-30,2,21,0,numeric_only,5.469325153374233,>5,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；提升幅度超过 1pp，是优先保留的候选正样本；纯数值特征占主导；类别不平衡明显,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=1067&sort=runs,data178/kc1/info.json
FOREX_audcad-day-High,TTT更高,ttt_step8,0.7465940054495913,0.7574931880108992,1.089918256130784,3.999999999999978,medium,1467,367,10,2,binclass,0.7-0.8,1k-5k,<=10,2,10,0,numeric_only,1.0310077519379846,<=1.2,openml,financial/FOREX,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；test 较小，几个样本就能造成 pp 级变化；提升幅度超过 1pp，是优先保留的候选正样本；纯数值特征占主导；类别较均衡,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=41721&sort=runs,data178/FOREX_audcad-day-High/info.json
mfeat-fourier,TTT更高,ttt_step8,0.9225,0.9325,1.0000000000000009,4.0000000000000036,medium,1600,400,76,10,multiclass,0.9-0.95,1k-5k,31-80,6-10,76,0,numeric_only,1.0,<=1.2,openml,vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；提升幅度超过 1pp，是优先保留的候选正样本；纯数值特征占主导；类别较均衡,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=14&sort=runs,data178/mfeat-fourier/info.json
ada_prior,TTT更高,ttt_step8,0.8554216867469879,0.8619934282584885,0.6571741511500528,5.999999999999982,medium,3649,913,14,2,binclass,0.8-0.9,1k-5k,11-30,2,6,8,mixed,3.030035335689046,2-5,openml,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；数值+类别混合，类别编码稳定性会影响 TTT,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=1037&sort=runs,data178/ada_prior/info.json
waveform-5000,TTT更高,ttt_step8,0.865,0.871,0.6000000000000005,6.000000000000005,medium,4000,1000,40,3,multiclass,0.8-0.9,1k-5k,31-80,3-5,40,0,numeric_only,1.0235934664246824,<=1.2,openml,synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯数值特征占主导；类别较均衡；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=60&sort=runs,data178/waveform-5000/info.json
Firm-Teacher_Clave-Direction_Classification,TTT更高,ttt_step8,0.8791666666666667,0.8847222222222222,0.5555555555555536,11.999999999999956,medium,8640,2160,16,4,multiclass,0.8-0.9,5k-20k,11-30,3-5,0,16,categorical_only,,unknown,uci,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯类别特征，TTT 更依赖离散组合模式,可保留 TTT，但建议加入保护性早停或 step selector。,https://archive.ics.uci.edu/dataset/324/firm+teacher+clave+direction+classification,data178/Firm-Teacher_Clave-Direction_Classification/info.json
satimage,TTT更高,ttt_step8,0.9416796267496113,0.9471228615863142,0.5443234836702948,6.999999999999991,medium,5144,1286,36,6,multiclass,0.9-0.95,5k-20k,31-80,6-10,36,0,numeric_only,2.4496,2-5,openml,text/sequence/symbolic; vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯数值特征占主导；视觉/传感器/模式类常有较强局部结构,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=182&sort=runs,data178/satimage/info.json
mfeat-zernike,TTT更高,ttt_step8,0.8975,0.9025,0.5000000000000004,2.0000000000000018,medium,1600,400,47,10,multiclass,0.8-0.9,1k-5k,31-80,6-10,47,0,numeric_only,1.0,<=1.2,openml,vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导；类别较均衡；视觉/传感器/模式类常有较强局部结构,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=22&sort=runs,data178/mfeat-zernike/info.json
maternal_health_risk,TTT更高,ttt_step8,0.8719211822660099,0.8768472906403941,0.492610837438423,0.9999999999999988,weak,811,203,6,3,multiclass,0.8-0.9,<=1k,<=10,3-5,6,0,numeric_only,,unknown,uci,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导,只作为弱收益样本；需要多 seed 或更严格 step selector。,https://archive.ics.uci.edu/dataset/863/maternal+health+risk,data178/maternal_health_risk/info.json
abalone,TTT更高,ttt_step8,0.6399521531100478,0.6447368421052632,0.4784688995215336,4.000000000000021,weak,3341,836,8,3,multiclass,0.6-0.7,1k-5k,<=10,3-5,7,1,mixed,1.093726379440665,<=1.2,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；数值+类别混合，类别编码稳定性会影响 TTT；类别较均衡,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=1557&sort=runs,data178/abalone/info.json
QSAR_biodegradation,TTT更高,ttt_step8,0.8909952606635071,0.8957345971563981,0.4739336492891044,1.0000000000000102,weak,843,211,41,2,binclass,0.8-0.9,<=1k,31-80,2,41,0,numeric_only,,unknown,uci,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导,只作为弱收益样本；需要多 seed 或更严格 step selector。,https://archive.ics.uci.edu/dataset/254/qsar+biodegradation,data178/QSAR_biodegradation/info.json
qsar,TTT更高,ttt_step8,0.9004739336492891,0.90521327014218,0.4739336492890933,0.9999999999999868,weak,844,211,40,2,binclass,0.9-0.95,<=1k,31-80,2,30,10,mixed,1.9634831460674158,1.2-2,openml,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；数值+类别混合，类别编码稳定性会影响 TTT,只作为弱收益样本；需要多 seed 或更严格 step selector。,https://www.openml.org/search?type=data&status=active&id=45077&sort=runs,data178/qsar/info.json
Telecom_Churn_Dataset,TTT更高,ttt_step8,0.9610194902548724,0.9655172413793104,0.4497751124437954,3.0000000000001155,weak,2666,667,17,2,binclass,>0.95,1k-5k,11-30,2,14,3,mixed,,unknown,kaggle,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；数值+类别混合，类别编码稳定性会影响 TTT,收益受 ceiling 限制，不值得为这类数据过度调参。,https://www.kaggle.com/datasets/mnassrib/telecom-churn-datasets,data178/Telecom_Churn_Dataset/info.json
Pumpkin_Seeds,TTT更高,ttt_step8,0.882,0.886,0.4000000000000003,2.0000000000000018,weak,2000,500,12,2,binclass,0.8-0.9,1k-5k,11-30,2,12,0,numeric_only,,unknown,kaggle,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯数值特征占主导,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.kaggle.com/datasets/muratkokludataset/pumpkin-seeds-dataset,data178/Pumpkin_Seeds/info.json
baseball,TTT更高,ttt_step8,0.9440298507462688,0.9477611940298508,0.3731343283582045,0.999999999999988,weak,1072,268,16,3,multiclass,0.9-0.95,1k-5k,11-30,3-5,15,1,mixed,21.31578947368421,>5,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；数值+类别混合，类别编码稳定性会影响 TTT；类别不平衡明显,只作为弱收益样本；需要多 seed 或更严格 step selector。,https://www.openml.org/search?type=data&status=active&id=185&sort=runs,data178/baseball/info.json
GesturePhaseSegmentationProcessed,TTT更高,ttt_step8,0.8273417721518987,0.8308860759493671,0.3544303797468395,7.000000000000081,weak,7898,1975,32,5,multiclass,0.8-0.9,5k-20k,31-80,3-5,32,0,numeric_only,2.9559118236472948,2-5,openml,vision/sensor/pattern; synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯数值特征占主导；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声；视觉/传感器/模式类常有较强局部结构,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=4538&sort=runs,data178/GesturePhaseSegmentationProcessed/info.json
ada_agnostic,TTT更高,ttt_step8,0.8510405257393209,0.8543263964950711,0.3285870755750264,2.999999999999991,weak,3649,913,48,2,binclass,0.8-0.9,1k-5k,31-80,2,48,0,numeric_only,,unknown,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯数值特征占主导,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=any&sort=runs&order=desc&id=1043,data178/ada_agnostic/info.json
electricity,TTT更高,ttt_step8,0.9261833829857664,0.9293832064437824,0.3199823458015949,28.999999999998547,medium,36249,9063,8,2,binclass,0.9-0.95,>20k,<=10,2,7,1,mixed,1.3554608306908562,1.2-2,openml,scientific/health/environment; synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；数值+类别混合，类别编码稳定性会影响 TTT；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=151&sort=runs,data178/electricity/info.json
Water_Quality_and_Potability,TTT更高,ttt_step8,0.6570121951219512,0.6600609756097561,0.3048780487804881,2.0000000000000018,weak,2620,656,8,2,binclass,0.6-0.7,1k-5k,<=10,2,8,0,numeric_only,,unknown,kaggle,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；纯数值特征占主导,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.kaggle.com/datasets/uom190346a/water-quality-and-potability,data178/Water_Quality_and_Potability/info.json
gina_agnostic,TTT更高,ttt_step8,0.9740634005763688,0.9769452449567724,0.288184438040362,2.000000000000112,weak,2774,694,970,2,binclass,>0.95,1k-5k,>80,2,970,0,numeric_only,,unknown,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；纯数值特征占主导,收益受 ceiling 限制，不值得为这类数据过度调参。,https://www.openml.org/search?type=data&status=any&sort=runs&order=desc&id=1038,data178/gina_agnostic/info.json
allrep,TTT更高,ttt_step8,0.9841059602649008,0.9867549668874172,0.2649006622516325,1.999999999999826,weak,3017,755,29,4,multiclass,>0.95,1k-5k,11-30,3-5,6,23,mixed,107.29411764705883,>5,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；数值+类别混合，类别编码稳定性会影响 TTT；类别不平衡明显,只作为弱收益样本；需要多 seed 或更严格 step selector。,https://www.openml.org/search?type=data&status=active&id=40708&sort=runs,data178/allrep/info.json
bank,TTT更高,ttt_step8,0.9089903792989052,0.91120203472299,0.2211655424084746,19.99999999999836,medium,36168,9043,16,2,binclass,0.9-0.95,>20k,11-30,2,7,9,mixed,,unknown,uci,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；数值+类别混合，类别编码稳定性会影响 TTT,可保留 TTT，但建议加入保护性早停或 step selector。,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,data178/bank/info.json
taiwanese_bankruptcy_prediction,TTT更高,ttt_step8,0.9714076246334312,0.9736070381231672,0.2199413489735957,2.999999999999846,weak,5455,1364,95,2,binclass,>0.95,5k-20k,>80,2,95,0,numeric_only,,unknown,uci,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；纯数值特征占主导,收益受 ceiling 限制，不值得为这类数据过度调参。,https://archive.ics.uci.edu/dataset/572/taiwanese+bankruptcy+prediction,data178/taiwanese_bankruptcy_prediction/info.json
FOREX_audusd-hour-High,TTT更高,ttt_step8,0.7070165430690245,0.7091842555618939,0.21677124928694,19.000000000000295,medium,35060,8765,10,2,binclass,0.7-0.8,>20k,<=10,2,10,0,numeric_only,1.1258792141644434,<=1.2,openml,financial/FOREX,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；纯数值特征占主导；类别较均衡；FOREX 类存在时间序列/粒度效应，方向不稳定,可保留 TTT，但建议加入保护性早停或 step selector。,https://www.openml.org/search?type=data&status=active&id=41843&sort=runs,data178/FOREX_audusd-hour-High/info.json
