dataset_name,accuracy_base,accuracy_ttt,delta_accuracy,delta_correct,accuracy_direction,n_train_base,n_val_base,n_test_base,n_features_base,n_classes_base,ttt_applied_bool,baseline_fallback_fill,true_ttt_accepted,ttt_steps,ttt_loss,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_split_reason,info_total_rows,info_train_size,info_val_size,info_test_size,info_n_features,info_n_num_features,info_n_cat_features,info_n_classes,info_imbalance_ratio,sample_size_bin,feature_count_bin,error_ttt
UJI_Pen_Characters,0.5384615384615384,0.5384615384615384,0.0,0.0,持平,1091,219,273,80,35,False,False,False,0,,0.4545085430145263,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=35 exceeds model max_classes=10,1364,872,219,273,80,80,0,35,,1k-5k,31-100,
Wilt,0.9927461139896372,0.9927461139896372,0.0,0.0,持平,3856,772,965,5,2,True,False,True,9,0.03447125852108,42.78122901916504,30,1,epoch_chunk,0.9870466321243524,0.9883419689119172,1,True,full train set chunked per epoch | validation=dataset_val_split,4821,3084,772,965,5,5,0,2,,1k-5k,<=10,
abalone,0.6399521531100478,0.6399521531100478,0.0,0.0,持平,3341,669,836,8,3,True,False,False,8,0.7076399065554142,54.19311809539795,30,1,epoch_chunk,0.6875934230194319,0.6875934230194319,0,True,full train set chunked per epoch | validation=dataset_val_split,4177,2672,669,836,8,7,1,3,1.093726379440665,1k-5k,<=10,
allbp,0.9774834437086092,0.9774834437086092,0.0,0.0,持平,3017,604,755,29,3,True,False,True,9,0.0833341602701693,76.78010630607605,30,1,epoch_chunk,0.9817880794701986,0.9834437086092715,1,True,full train set chunked per epoch | validation=dataset_val_split,3772,2413,604,755,29,6,23,3,257.7857142857143,1k-5k,11-30,
analcatdata_authorship,0.9940828402366864,0.9940828402366864,0.0,0.0,持平,672,135,169,69,4,True,False,False,8,0.0006849949663774,31.1587233543396,30,1,epoch_chunk,1.0,1.0,0,True,full train set chunked per epoch | validation=dataset_val_split,841,537,135,169,69,69,0,4,5.763636363636364,<=1k,31-100,
autoUniv-au7-1100,0.4090909090909091,0.4090909090909091,0.0,0.0,持平,880,176,220,12,5,True,False,False,8,1.3007434718310833,17.219518423080444,30,1,epoch_chunk,0.5227272727272727,0.5227272727272727,0,True,full train set chunked per epoch | validation=dataset_val_split,1100,704,176,220,12,8,4,5,1.9934640522875817,1k-5k,11-30,
bank,0.9089903792989052,0.9089903792989052,0.0,0.0,持平,36168,7234,9043,16,2,False,True,False,0,,0.0,0,0,,,,0,False,,45211,28934,7234,9043,16,7,9,2,,20k-100k,11-30,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 80.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 54.00 MiB is free. Process 44659 has 23.51 GiB memory in use. Of the allocated memory 22.83 GiB is allocated by PyTorch, and 372.48 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
banknote_authentication,0.5381818181818182,0.5381818181818182,0.0,0.0,持平,1097,220,275,4,2,True,False,True,17,0.6784989759325981,19.35369634628296,30,1,epoch_chunk,0.5772727272727273,0.5909090909090909,9,True,full train set chunked per epoch | validation=dataset_val_split,1372,877,220,275,4,4,0,2,,1k-5k,<=10,
baseball,0.9440298507462688,0.9440298507462688,0.0,0.0,持平,1072,215,268,16,3,True,False,True,11,0.1435740636661648,28.49161100387573,30,1,epoch_chunk,0.9534883720930232,0.958139534883721,3,True,full train set chunked per epoch | validation=dataset_val_split,1340,857,215,268,16,15,1,3,21.31578947368421,1k-5k,11-30,
car-evaluation,0.9855491329479767,0.9855491329479767,0.0,0.0,持平,1382,277,346,21,4,True,False,True,9,0.0159908333152998,30.509161949157715,30,1,epoch_chunk,0.9855595667870036,0.9891696750902528,1,True,full train set chunked per epoch | validation=dataset_val_split,1728,1105,277,346,21,0,21,4,18.615384615384617,1k-5k,11-30,
churn,0.967,0.967,0.0,0.0,持平,4000,800,1000,20,2,True,False,False,8,0.1188717081677168,83.13507676124573,30,1,epoch_chunk,0.975,0.975,0,True,full train set chunked per epoch | validation=dataset_val_split,5000,3200,800,1000,20,16,4,2,6.072135785007072,1k-5k,11-30,
customer_satisfaction_in_airline,0.9647751770865414,0.9647751770865414,0.0,0.0,持平,103904,20781,25976,21,2,False,True,False,0,,0.0,0,0,,,,0,False,,129880,83123,20781,25976,21,4,17,2,,>100k,11-30,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 80.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 12.00 MiB is free. Process 44657 has 23.55 GiB memory in use. Of the allocated memory 22.95 GiB is allocated by PyTorch, and 289.16 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
dabetes_130-us_hospitals,0.6438537879532279,0.6438537879532279,0.0,0.0,持平,81412,16283,20354,20,2,False,True,False,0,,0.0,0,0,,,,0,False,,101766,65129,16283,20354,20,8,12,2,,>100k,11-30,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 40.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 28.00 MiB is free. Process 44658 has 23.54 GiB memory in use. Of the allocated memory 22.80 GiB is allocated by PyTorch, and 432.35 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
default_of_credit_card_clients,0.8271666666666667,0.8271666666666667,0.0,0.0,持平,24000,4800,6000,23,2,False,True,False,0,,0.0,0,0,,,,0,False,,30000,19200,4800,6000,23,14,9,2,,20k-100k,11-30,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 38.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 8.00 MiB is free. Process 44659 has 23.55 GiB memory in use. Of the allocated memory 23.00 GiB is allocated by PyTorch, and 242.16 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
delta_ailerons,0.953015427769986,0.953015427769986,0.0,0.0,持平,5703,1141,1426,5,2,True,False,False,8,0.1477405996993184,64.41866111755371,30,1,epoch_chunk,0.9430324276950044,0.9430324276950044,0,True,full train set chunked per epoch | validation=dataset_val_split,7129,4562,1141,1426,5,5,0,2,1.1306037059175136,5k-20k,<=10,
dis,0.990728476821192,0.990728476821192,0.0,0.0,持平,3017,604,755,29,2,True,False,True,23,0.0325578866177238,196.10512232780457,30,1,epoch_chunk,0.9850993377483444,0.9950331125827816,15,True,full train set chunked per epoch | validation=dataset_val_split,3772,2413,604,755,29,6,23,2,64.03448275862068,1k-5k,11-30,
dna,0.9717868338557992,0.9717868338557992,0.0,0.0,持平,2548,510,638,180,3,True,False,False,8,0.1307752768043428,224.2997095584869,30,1,epoch_chunk,0.976470588235294,0.976470588235294,0,True,full train set chunked per epoch | validation=dataset_val_split,3186,2038,510,638,180,0,180,3,2.1620915032679737,1k-5k,101-300,
drug_consumption,0.403183023872679,0.403183023872679,0.0,0.0,持平,1507,302,377,12,7,True,False,False,8,1.5001282691955566,23.930110931396484,30,1,epoch_chunk,0.4039735099337748,0.4039735099337748,0,True,full train set chunked per epoch | validation=dataset_val_split,1884,1205,302,377,12,12,0,7,,1k-5k,11-30,
dry_bean_dataset,0.9287550495776716,0.9287550495776716,0.0,0.0,持平,10888,2178,2723,16,7,True,False,False,8,0.1676537003368139,326.90969800949097,30,1,epoch_chunk,0.9325068870523416,0.9325068870523416,0,True,full train set chunked per epoch | validation=dataset_val_split,13611,8710,2178,2723,16,16,0,7,,5k-20k,11-30,
estimation_of_obesity_levels,0.9905437352245864,0.9905437352245864,0.0,0.0,持平,1688,338,423,16,7,True,False,True,18,0.0382701997878029,64.86520171165466,30,1,epoch_chunk,0.9822485207100592,0.9911242603550297,10,True,full train set chunked per epoch | validation=dataset_val_split,2111,1350,338,423,16,8,8,7,,1k-5k,11-30,
gas-drift,0.9971243709561468,0.9971243709561468,0.0,0.0,持平,11128,2226,2782,128,6,False,True,False,0,,0.0,0,0,,,,0,False,,13910,8902,2226,2782,128,128,0,6,1.83363802559415,5k-20k,101-300,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.12 GiB. GPU 0 has a total capacity of 23.57 GiB of which 632.00 MiB is free. Process 44659 has 22.95 GiB memory in use. Of the allocated memory 22.12 GiB is allocated by PyTorch, and 518.30 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
gina_agnostic,0.9740634005763688,0.9740634005763688,0.0,0.0,持平,2774,555,694,970,2,False,True,False,0,,0.0,0,0,,,,0,False,,3468,2219,555,694,970,970,0,2,,1k-5k,>300,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.03 GiB. GPU 0 has a total capacity of 23.57 GiB of which 794.00 MiB is free. Process 44657 has 22.79 GiB memory in use. Of the allocated memory 22.34 GiB is allocated by PyTorch, and 136.11 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
golf_play_dataset_extended,0.9452054794520548,0.9452054794520548,0.0,0.0,持平,876,176,219,9,2,True,False,False,8,0.0972041618078947,16.171951055526733,30,1,epoch_chunk,0.9204545454545454,0.9204545454545454,0,True,full train set chunked per epoch | validation=dataset_val_split,1095,700,176,219,9,3,6,2,,1k-5k,<=10,
hill-valley,0.97119341563786,0.97119341563786,0.0,0.0,持平,969,194,243,100,2,True,False,True,21,0.0344581313402159,133.073832988739,30,1,epoch_chunk,0.9381443298969072,0.9845360824742267,13,True,full train set chunked per epoch | validation=dataset_val_split,1212,775,194,243,100,100,0,2,1.0,1k-5k,31-100,
htru,0.9807262569832402,0.9807262569832402,0.0,0.0,持平,14318,2864,3580,8,2,True,False,True,9,0.068782405462116,506.6217813491821,30,1,epoch_chunk,0.9793994413407822,0.9797486033519552,1,True,full train set chunked per epoch | validation=dataset_val_split,17898,11454,2864,3580,8,8,0,2,,5k-20k,<=10,
ibm-employee-performance,1.0,1.0,0.0,0.0,持平,1176,236,294,30,2,True,False,False,8,1.7505474296797274e-06,29.057694673538208,30,1,epoch_chunk,1.0,1.0,0,True,full train set chunked per epoch | validation=dataset_val_split,1470,940,236,294,30,23,7,2,5.504424778761062,1k-5k,11-30,
internet_firewall,0.925154497596704,0.925154497596704,0.0,0.0,持平,52425,10485,13107,7,4,True,False,True,27,0.1029246074613183,2709.9521057605743,30,3,epoch_chunk,0.8028612303290414,0.934763948497854,1,True,full train set chunked per epoch | validation=dataset_val_split,65532,41940,10485,13107,7,7,0,4,,20k-100k,<=10,
internet_usage,0.5499505440158259,0.5499505440158259,0.0,0.0,持平,8086,1618,2022,70,46,False,False,False,0,,0.791741132736206,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=46 exceeds model max_classes=10,10108,6468,1618,2022,70,0,70,46,,5k-20k,31-100,
kr-vs-k,0.9196364932287956,0.9196364932287956,0.0,0.0,持平,22444,4489,5612,6,18,False,False,False,0,,0.4609129428863525,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=18 exceeds model max_classes=10,28056,17955,4489,5612,6,3,3,18,168.62962962962962,20k-100k,<=10,
kropt,0.9164290805416964,0.9164290805416964,0.0,0.0,持平,22444,4489,5612,6,18,False,False,False,0,,0.4676771163940429,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=18 exceeds model max_classes=10,28056,17955,4489,5612,6,0,6,18,168.62962962962962,20k-100k,<=10,
led7,0.7390625,0.7390625,0.0,0.0,持平,2560,512,640,7,10,True,False,False,8,0.821800172328949,37.68981599807739,30,1,epoch_chunk,0.73046875,0.73046875,0,True,full train set chunked per epoch | validation=dataset_val_split,3200,2048,512,640,7,0,7,10,1.262962962962963,1k-5k,<=10,
letter,0.99,0.99,0.0,0.0,持平,16000,3200,4000,15,26,False,False,False,0,,0.5069434642791748,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=26 exceeds model max_classes=10,20000,12800,3200,4000,15,15,0,26,1.1076294277929155,5k-20k,11-30,
madeline,0.9235668789808916,0.9235668789808916,0.0,0.0,持平,2512,503,628,259,2,False,True,False,0,,0.0,0,0,,,,0,False,,3140,2009,503,628,259,259,0,2,1.011531069827034,1k-5k,101-300,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 252.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 58.00 MiB is free. Process 44658 has 23.51 GiB memory in use. Of the allocated memory 22.04 GiB is allocated by PyTorch, and 1.15 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
maternal_health_risk,0.8719211822660099,0.8719211822660099,0.0,0.0,持平,811,163,203,6,3,True,False,True,9,0.4371988493949175,17.259971618652344,30,1,epoch_chunk,0.8282208588957055,0.8343558282208589,1,True,full train set chunked per epoch | validation=dataset_val_split,1014,648,163,203,6,6,0,3,,1k-5k,<=10,
mfeat-factors,0.9825,0.9825,0.0,0.0,持平,1600,320,400,216,10,True,False,False,8,0.0405956987524405,169.0123519897461,30,1,epoch_chunk,0.984375,0.984375,0,True,full train set chunked per epoch | validation=dataset_val_split,2000,1280,320,400,216,216,0,10,1.0,1k-5k,101-300,
mfeat-karhunen,0.975,0.975,0.0,0.0,持平,1600,320,400,64,10,True,False,True,12,0.0346997646265663,88.37615489959717,30,1,epoch_chunk,0.978125,0.98125,4,True,full train set chunked per epoch | validation=dataset_val_split,2000,1280,320,400,64,64,0,10,1.0,1k-5k,31-100,
mfeat-morphological,0.77,0.77,0.0,0.0,持平,1600,320,400,6,10,True,False,False,8,0.7256335876882076,21.26373696327209,30,1,epoch_chunk,0.753125,0.753125,0,True,full train set chunked per epoch | validation=dataset_val_split,2000,1280,320,400,6,6,0,10,1.0,1k-5k,<=10,
mfeat-pixel,0.975,0.975,0.0,0.0,持平,1600,320,400,240,10,True,False,False,8,0.0415484004188329,185.6154270172119,30,1,epoch_chunk,0.98125,0.98125,0,True,full train set chunked per epoch | validation=dataset_val_split,2000,1280,320,400,240,0,240,10,1.0,1k-5k,101-300,
mice_protein_expression,1.0,1.0,0.0,0.0,持平,864,173,216,75,8,True,False,False,8,0.0002579433769938,39.652615547180176,30,1,epoch_chunk,1.0,1.0,0,True,full train set chunked per epoch | validation=dataset_val_split,1080,691,173,216,75,75,0,8,,1k-5k,31-100,
naticusdroid+android+permissions+dataset,0.9730697119481848,0.9730697119481848,0.0,0.0,持平,23465,4693,5867,86,2,False,True,False,0,,0.0,0,0,,,,0,False,,29332,18772,4693,5867,86,0,86,2,,20k-100k,31-100,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.61 GiB. GPU 0 has a total capacity of 23.57 GiB of which 820.00 MiB is free. Process 44659 has 22.76 GiB memory in use. Of the allocated memory 21.99 GiB is allocated by PyTorch, and 462.48 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
national-longitudinal-survey-binary,1.0,1.0,0.0,0.0,持平,3926,786,982,16,2,True,False,False,8,0.0001843574314079,75.74071025848389,30,1,epoch_chunk,1.0,1.0,0,True,full train set chunked per epoch | validation=dataset_val_split,4908,3140,786,982,16,9,7,2,1.648677819751754,1k-5k,11-30,
one-hundred-plants-margin,0.903125,0.903125,0.0,0.0,持平,1280,256,320,64,100,False,False,False,0,,0.4620857238769531,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=100 exceeds model max_classes=10,1600,1024,256,320,64,64,0,100,1.0,1k-5k,31-100,
one-hundred-plants-shape,0.840625,0.840625,0.0,0.0,持平,1280,256,320,64,100,False,False,False,0,,0.4612984657287597,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=100 exceeds model max_classes=10,1600,1024,256,320,64,64,0,100,1.0,1k-5k,31-100,
one-hundred-plants-texture,0.928125,0.928125,0.0,0.0,持平,1279,256,320,64,100,False,False,False,0,,0.4650275707244873,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=100 exceeds model max_classes=10,1599,1023,256,320,64,64,0,100,1.0666666666666667,1k-5k,31-100,
online_shoppers,0.9059205190592052,0.9059205190592052,0.0,0.0,持平,9864,1973,2466,14,2,True,False,False,8,0.2152217044495046,272.33220314979553,30,1,epoch_chunk,0.9011657374556512,0.9011657374556512,0,True,full train set chunked per epoch | validation=dataset_val_split,12330,7891,1973,2466,14,5,9,2,5.462264150943396,5k-20k,11-30,
optdigits,0.9973309608540926,0.9973309608540926,0.0,0.0,持平,4496,900,1124,64,10,True,False,True,9,0.0165812732593622,206.0330753326416,30,1,epoch_chunk,0.99,0.9922222222222222,1,True,full train set chunked per epoch | validation=dataset_val_split,5620,3596,900,1124,64,64,0,10,1.032490974729242,5k-20k,31-100,
page-blocks,0.9771689497716894,0.9771689497716894,0.0,0.0,持平,4378,876,1095,10,5,True,False,True,9,0.0540827444056049,88.76539969444275,30,1,epoch_chunk,0.9691780821917808,0.9726027397260274,1,True,full train set chunked per epoch | validation=dataset_val_split,5473,3502,876,1095,10,10,0,5,175.46428571428572,5k-20k,<=10,
pc1,0.945945945945946,0.945945945945946,0.0,0.0,持平,887,178,222,21,2,True,False,False,8,0.1841230052523315,20.131365537643436,30,1,epoch_chunk,0.9325842696629212,0.9325842696629212,0,True,full train set chunked per epoch | validation=dataset_val_split,1109,709,178,222,21,21,0,2,13.402597402597403,1k-5k,11-30,
pc3,0.9009584664536742,0.9009584664536742,0.0,0.0,持平,1250,250,313,37,2,True,False,False,8,0.2261883406899869,33.944557428359985,30,1,epoch_chunk,0.892,0.892,0,True,full train set chunked per epoch | validation=dataset_val_split,1563,1000,250,313,37,37,0,2,8.76875,1k-5k,31-100,
pc4,0.910958904109589,0.910958904109589,0.0,0.0,持平,1166,234,292,37,2,True,False,True,23,0.1551613127812743,90.1468198299408,30,1,epoch_chunk,0.9230769230769232,0.9316239316239316,15,True,full train set chunked per epoch | validation=dataset_val_split,1458,932,234,292,37,37,0,2,7.191011235955056,1k-5k,31-100,
pendigits,0.9972714870395636,0.9972714870395636,0.0,0.0,持平,8793,1759,2199,16,10,True,False,False,8,0.004954210940923,231.1585967540741,30,1,epoch_chunk,0.9982944855031268,0.9982944855031268,0,True,full train set chunked per epoch | validation=dataset_val_split,10992,7034,1759,2199,16,16,0,10,1.0843601895734598,5k-20k,11-30,
qsar,0.9004739336492891,0.9004739336492891,0.0,0.0,持平,844,169,211,40,2,True,False,False,8,0.2498009018599987,26.42250061035156,30,1,epoch_chunk,0.8875739644970414,0.8875739644970414,0,True,full train set chunked per epoch | validation=dataset_val_split,1055,675,169,211,40,30,10,2,1.9634831460674158,1k-5k,31-100,
rice_cammeo_and_osmancik,0.931758530183727,0.931758530183727,0.0,0.0,持平,3048,610,762,7,2,True,False,True,13,0.1617652564309537,67.63741850852966,30,1,epoch_chunk,0.9327868852459016,0.9360655737704918,5,True,full train set chunked per epoch | validation=dataset_val_split,3810,2438,610,762,7,7,0,2,,1k-5k,<=10,
seismic+bumps,0.9342359767891684,0.9342359767891684,0.0,0.0,持平,2067,414,517,18,2,True,False,False,8,0.1886345818638801,36.12348198890686,30,1,epoch_chunk,0.9347826086956522,0.9347826086956522,0,True,full train set chunked per epoch | validation=dataset_val_split,2584,1653,414,517,18,14,4,2,,1k-5k,11-30,
semeion,0.9686520376175548,0.9686520376175548,0.0,0.0,持平,1274,255,319,256,10,True,False,True,9,0.1352050397545099,187.22654247283936,30,1,epoch_chunk,0.9568627450980391,0.9607843137254902,1,True,full train set chunked per epoch | validation=dataset_val_split,1593,1019,255,319,256,256,0,10,1.0451612903225806,1k-5k,101-300,
shuttle,0.9993103448275862,0.9993103448275862,0.0,0.0,持平,46400,9280,11600,9,7,True,False,False,16,0.0006810756090089,2117.7061100006104,30,2,epoch_chunk,0.9998922413793104,0.9998922413793104,0,True,full train set chunked per epoch | validation=dataset_val_split,58000,37120,9280,11600,9,9,0,7,4558.6,20k-100k,<=10,
spambase,0.9587404994571118,0.9587404994571118,0.0,0.0,持平,3680,736,921,57,2,True,False,True,14,0.1032306689303368,221.3848087787628,30,1,epoch_chunk,0.9633152173913044,0.9660326086956522,6,True,full train set chunked per epoch | validation=dataset_val_split,4601,2944,736,921,57,57,0,2,1.5377826806398236,1k-5k,31-100,
splice,0.9608150470219436,0.9608150470219436,0.0,0.0,持平,2552,511,638,60,3,True,False,True,11,0.0954090310260653,119.77884101867676,30,1,epoch_chunk,0.9686888454011742,0.9706457925636008,3,True,full train set chunked per epoch | validation=dataset_val_split,3190,2041,511,638,60,0,60,3,2.1577574967405475,1k-5k,31-100,
sports_articles_for_objectivity_analysis,0.845,0.845,0.0,0.0,持平,800,160,200,59,2,True,False,False,8,0.4527423158288002,30.720256090164185,30,1,epoch_chunk,0.8375,0.8375,0,True,full train set chunked per epoch | validation=dataset_val_split,1000,640,160,200,59,57,2,2,,<=1k,31-100,
statlog,0.73,0.73,0.0,0.0,持平,800,160,200,20,2,True,False,False,8,0.4537084717303514,18.923298835754395,30,1,epoch_chunk,0.76875,0.76875,0,True,full train set chunked per epoch | validation=dataset_val_split,1000,640,160,200,20,7,13,2,,<=1k,11-30,
sylvine,0.977560975609756,0.977560975609756,0.0,0.0,持平,4099,820,1025,20,2,True,False,False,8,0.0727274704258889,85.79214596748352,30,1,epoch_chunk,0.9792682926829268,0.9792682926829268,0,True,full train set chunked per epoch | validation=dataset_val_split,5124,3279,820,1025,20,20,0,2,1.0,5k-20k,11-30,
telco-customer-churn,0.8055358410220014,0.8055358410220014,0.0,0.0,持平,5634,1127,1409,18,2,True,False,False,8,0.4183853268623352,127.95896220207214,30,1,epoch_chunk,0.8163265306122449,0.8163265306122449,0,True,full train set chunked per epoch | validation=dataset_val_split,7043,4507,1127,1409,18,3,15,2,2.7683253076511503,5k-20k,11-30,
texture,1.0,1.0,0.0,0.0,持平,4400,880,1100,40,11,False,False,False,0,,0.4792940616607666,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,5500,3520,880,1100,40,40,0,11,1.0,5k-20k,31-100,
thyroid,0.9958333333333332,0.9958333333333332,0.0,0.0,持平,5760,1152,1440,21,3,True,False,True,12,0.0087089860608102,206.97781658172607,30,1,epoch_chunk,0.9939236111111112,0.9947916666666666,4,True,full train set chunked per epoch | validation=dataset_val_split,7200,4608,1152,1440,21,21,0,3,,5k-20k,11-30,
thyroid-ann,0.9920529801324504,0.9920529801324504,0.0,0.0,持平,3017,604,755,21,3,True,False,False,8,0.0070541420282097,61.43502569198608,30,1,epoch_chunk,0.9950331125827816,0.9950331125827816,0,True,full train set chunked per epoch | validation=dataset_val_split,3772,2413,604,755,21,21,0,3,37.505376344086024,1k-5k,11-30,
thyroid-dis,0.6982142857142857,0.6982142857142857,0.0,0.0,持平,2240,448,560,26,5,True,False,False,8,0.6808900311589241,47.44251775741577,30,1,epoch_chunk,0.7388392857142857,0.7388392857142857,0,True,full train set chunked per epoch | validation=dataset_val_split,2800,1792,448,560,26,6,20,5,52.645161290322584,1k-5k,11-30,
turiye_student_evaluation,0.5197594501718213,0.5197594501718213,0.0,0.0,持平,4656,932,1164,32,5,True,False,False,8,1.1892214193940165,126.17388606071472,30,1,epoch_chunk,0.5118025751072961,0.5118025751072961,0,True,full train set chunked per epoch | validation=dataset_val_split,5820,3724,932,1164,32,30,2,5,,5k-20k,31-100,
twonorm,0.9777027027027028,0.9777027027027028,0.0,0.0,持平,5920,1184,1480,20,2,True,False,False,8,0.0480507134925574,140.46624064445496,30,1,epoch_chunk,0.977195945945946,0.977195945945946,0,True,full train set chunked per epoch | validation=dataset_val_split,7400,4736,1184,1480,20,20,0,2,1.0016229375169057,5k-20k,11-30,
vehicle,0.8764705882352941,0.8764705882352941,0.0,0.0,持平,676,136,170,18,4,True,False,True,17,0.2101029730401933,35.67223834991455,30,1,epoch_chunk,0.9044117647058824,0.9191176470588236,9,True,full train set chunked per epoch | validation=dataset_val_split,846,540,136,170,18,18,0,4,1.0954773869346734,<=1k,11-30,
volkert,0.7511576058995026,0.7511576058995026,0.0,0.0,持平,46648,9330,11662,180,10,False,False,False,0,,0.0,0,0,,,,0,False,TTT skipped for dataset=volkert to avoid OOM,58310,37318,9330,11662,180,180,0,10,9.409257898603968,20k-100k,101-300,
walking-activity,0.6750929119094653,0.6750929119094653,0.0,0.0,持平,119465,23893,29867,4,22,False,False,False,0,,0.717299222946167,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=22 exceeds model max_classes=10,149332,95572,23893,29867,4,4,0,22,,>100k,<=10,
wall-robot-navigation,0.9935897435897436,0.9935897435897436,0.0,0.0,持平,4364,873,1092,24,4,True,False,True,11,0.0299596265540458,139.37115240097046,30,1,epoch_chunk,0.983963344788087,0.9851088201603666,3,True,full train set chunked per epoch | validation=dataset_val_split,5456,3491,873,1092,24,24,0,4,6.722560975609756,5k-20k,11-30,
water_quality,0.911875,0.911875,0.0,0.0,持平,6396,1280,1600,20,2,True,False,False,8,0.2400781228207051,146.618825674057,30,1,epoch_chunk,0.89609375,0.89609375,0,True,full train set chunked per epoch | validation=dataset_val_split,7996,5116,1280,1600,20,20,0,2,,5k-20k,11-30,
waveform_database_generator_version_1,0.871,0.871,0.0,0.0,持平,4000,800,1000,21,3,True,False,False,8,0.2614504313096404,85.49048280715942,30,1,epoch_chunk,0.85875,0.85875,0,True,full train set chunked per epoch | validation=dataset_val_split,5000,3200,800,1000,21,21,0,3,,1k-5k,11-30,
website_phishing,0.92619926199262,0.92619926199262,0.0,0.0,持平,1082,217,271,9,3,True,False,False,8,0.1908144778572023,18.60886693000793,30,1,epoch_chunk,0.9216589861751152,0.9216589861751152,0,True,full train set chunked per epoch | validation=dataset_val_split,1353,865,217,271,9,0,9,3,,1k-5k,<=10,
