dataset_name,group,winner,change_strength,delta_pp,delta_correct_est,acc_iclv2_ensmble32,acc_ttt_step8,task_type_iclv2_ensmble32,task_type_json,train_size_json,val_size_json,test_size_json,total_size_json,train_size_bin,test_size_bin,n_num_features_json,n_cat_features_json,total_features_json,feature_modality,feature_count_bin,n_features_iclv2_ensmble32,feature_count_mismatch,class_count_json,n_classes_iclv2_ensmble32,class_count_bin,class_count_mismatch,imbalance_ratio,imbalance_bin,source_family,domain_tag,ttt_applied,ttt_steps,ttt_lr,ttt_update_seconds,ttt_execution_group,ttt_split_strategy,ttt_split_reason,source,openml_id,task_intro,num_feature_intro,cat_feature_intro,feature_intro,target_intro,dataset_analysis,info_json_path,info_json_missing
thyroid,持平,tie,tie_0pp,0.0,0.0,0.9958333333333332,0.9958333333333332,multiclass,multiclass,4608,1152,1440,7200,medium_1.5k-5k,medium_500-2k,21,0,21,numeric_only,mid_dim_11-50,21,False,3,3,multi_3-5,False,,missing,uci,health_medical,True,8,5e-06,46.13602423667908,TTT执行,stratified,stratified split,https://archive.ics.uci.edu/dataset/102/thyroid+disease,missing,missing,missing,missing,missing,missing,"TTT执行但预测未变；高基线接近天花板；数据形态 medium_1.5k-5k, mid_dim_11-50, multi_3-5, numeric_only。",data178/thyroid/info.json,False
thyroid-ann,持平,tie,tie_0pp,0.0,0.0,0.9920529801324504,0.9920529801324504,multiclass,multiclass,2413,604,755,3772,medium_1.5k-5k,medium_500-2k,21,0,21,numeric_only,mid_dim_11-50,21,False,3,3,multi_3-5,False,37.505376344086024,extreme_>10,openml,health_medical;education_hr_social,True,8,5e-06,20.74162650108337,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=40497&sort=runs,40497,"This directory contains Thyroid datasets. &quot;ann-train.data&quot; contains 3772 
learning examples and &quot;ann-test.data&quot; contains 3428 testing examples. I have 
obtained this data from Daimler-Benz. This are the informations I have got 
together with the dataset:

-------------------------------------------------------------------------------
1. Data setp summary

Number of attributes: 21 (15 attributes are binary,
      6 attributes are continuous)
Number of classes: 3
Number of learning examples: 3772
Number of testing examples: 3428
Data set is availbale on ASCII-file

2. Description

The problem is to determine whether a patient referred to the clinic is
hypothyroid. Therefore three classes are built: normal (not hypothyroid),
hyperfunction and subnormal functioning. Because 92 percent of the patients
are not hyperthyroid a good classifier must be significant better than 92%.

Note

These are the datas Quinlans used in the case study of his article
&quot;Simplifying Decision Trees&quot; (International Journal of Man-Machine Studies 
(1987) 221-234)
-------------------------------------------------------------------------------


Unfortunately this data differ from the one Ross Quinlan placed in
&quot;pub/machine-learning-databases/thyroid-disease&quot; on &quot;ics.uci.edu&quot;.
I don't know any more details about the dataset. But it's hard to
train Backpropagation ANNs with it. The dataset is used in two technical
reports:

-------------------------------------------------------------------------------
&quot;Optimization of the Backpropagation Algorithm for Training Multilayer
Perceptrons&quot;:

        ftp archive.cis.ohio-state.edu  or  ftp 128.146.8.52
        cd pub/neuroprose
        binary
        get schiff.bp_speedup.ps.Z
        quit

The report is an overview of many different backprop speedup techniques.
15 different algorithms are described in detail and compared by using
a big, very hard to solve, practical data set. Learning speed and network
classification performance with respect to the training data set and also
with respect to a testing data set are discussed.
These are the tested algorithms:

backprop
backprop (batch mode)
backprop + Learning rate calculated by Eaton and Oliver's formula
backprop + decreasing learning rate (Darken and Moody)
backprop + Learning rate adaptation for each training pattern (J. Schmidhuber)
backprop + evolutionarily learning rate adaptation (R. Salomon)
backprop + angle driven learning rate adaptation(Chan and Fallside)
Polak-Ribiere + line search (Kramer and Vincentelli)
Conj. gradient + line search (Leonard and Kramer)
backprop + learning rate adaptation by sign changes (Silva and Almeida)
SuperSAB (T. Tollenaere)
Delta-Bar-Delta (Jacobs)
RPROP (Riedmiller and Braun)
Quickprop (Fahlman)
Cascade correlation (Fahlman)

-------------------------------------------------------------------------------
&quot;Synthesis and Performance Analysis of Multilayer eural Network Architectures&quot;:


        ftp archive.cis.ohio-state.edu  or  ftp 128.146.8.52
        cd pub/neuroprose
        binary
        get schiff.gann.ps.Z
        quit

In this paper we present various approaches for automatic topology-optimization
of backpropagation networks. First of all, we review the basics of genetic
algorithms which are our essential tool for a topology search. Then we give a
survey of backprop and the topological properties of feedforward networks. We
report on pioneer work in the filed of topology--optimization. Our first
approach was based on evolutions strategies which used only mutation to change
the parent's topologies. Now, we found a way to extend this approach by an
crossover operator which is essential to all genetic search methods.
In contrast to competing approaches it allows that two parent networks with
different number of units can mate and produce a (valid) child network, which
inherits genes from both of the parents. We applied our genetic algorithm to a
medical classification problem which is extremly difficult to solve. The
performance with respect to the training set and a test set of pattern samples
was compared to fixed network topologies. Our results confirm that the topology
optimization makes sense, because the generated networks outperform the fixed
topologies and reach classification performances near optimum.

-------------------------------------------------------------------------------

Randolf Werner (evol@infko.uni-koblenz.de)","{'V1': 'V1', 'V2': 'V2', 'V3': 'V3', 'V4': 'V4', 'V5': 'V5', 'V6': 'V6', 'V7': 'V7', 'V8': 'V8', 'V9': 'V9', 'V10': 'V10', 'V11': 'V11', 'V12': 'V12', 'V13': 'V13', 'V14': 'V14', 'V15': 'V15', 'V16': 'V16', 'V17': 'V17', 'V18': 'V18', 'V19': 'V19', 'V20': 'V20', 'V21': 'V21'}",{},missing,missing,"TTT执行但预测未变；高基线接近天花板；数据形态 medium_1.5k-5k, mid_dim_11-50, multi_3-5, numeric_only。",data178/thyroid-ann/info.json,False
vehicle,持平,tie,tie_0pp,0.0,0.0,0.8764705882352941,0.8764705882352941,multiclass,multiclass,540,136,170,846,small_<1.5k,small_<500,18,0,18,numeric_only,mid_dim_11-50,18,False,4,4,multi_3-5,False,1.0954773869346734,balanced_<=1.5,openml,image_character_shape,True,8,5e-06,11.025156021118164,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=54&sort=runs,54,"**Author**: Dr. Pete Mowforth and Dr. Barry Shepherd  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Statlog+(Vehicle+Silhouettes))
**Please cite**: Siebert,JP. Turing Institute Research Memorandum TIRM-87-018 ""Vehicle Recognition Using Rule Based Methods"" (March 1987)  

 NAME
         vehicle silhouettes
 
 PURPOSE
         to classify a given silhouette as one of four types of vehicle,
         using  a set of features extracted from the silhouette. The
         vehicle may be viewed from one of many different angles.  
 
 PROBLEM TYPE
         classification
         
 SOURCE
         Drs.Pete Mowforth and Barry Shepherd
         Turing Institute
         George House
         36 North Hanover St.
         Glasgow
         G1 2AD
 
 CONTACT
         Alistair Sutherland
         Statistics Dept.
         Strathclyde University
         Livingstone Tower
         26 Richmond St.
         GLASGOW G1 1XH
         Great Britain
         
         Tel: 041 552 4400 x3033
         
         Fax: 041 552 4711 
         
         e-mail: alistair@uk.ac.strathclyde.stams
 
 HISTORY
         This data was originally gathered at the TI in 1986-87 by
         JP Siebert. It was partially financed by Barr and Stroud Ltd.
         The original purpose was to find a method of distinguishing
         3D objects within a 2D image by application of an ensemble of
         shape feature extractors to the 2D silhouettes of the objects.
         Measures of shape features extracted from example silhouettes
         of objects to be discriminated were used to generate a class-
         ification rule tree by means of computer induction.
          This object recognition strategy was successfully used to 
         discriminate between silhouettes of model cars, vans and buses
         viewed from constrained elevation but all angles of rotation.
          The rule tree classification performance compared favourably
         to MDC (Minimum Distance Classifier) and k-NN (k-Nearest Neigh-
         bour) statistical classifiers in terms of both error rate and
         computational efficiency. An investigation of these rule trees
         generated by example indicated that the tree structure was 
         heavily influenced by the orientation of the objects, and grouped
         similar object views into single decisions.
 
 DESCRIPTION
          The features were extracted from the silhouettes by the HIPS
         (Hierarchical Image Processing System) extension BINATTS, which 
         extracts a combination of scale independent features utilising
         both classical moments based measures such as scaled variance,
         skewness and kurtosis about the major/minor axes and heuristic
         measures such as hollows, circularity, rectangularity and
         compactness.
          Four ""Corgie"" model vehicles were used for the experiment:
         a double decker bus, Cheverolet van, Saab 9000 and an Opel Manta 400.
         This particular combination of vehicles was chosen with the 
         expectation that the bus, van and either one of the cars would
         be readily distinguishable, but it would be more difficult to
         distinguish between the cars.
          The images were acquired by a camera looking downwards at the
         model vehicle from a fixed angle of elevation (34.2 degrees
         to the horizontal). The vehicles were placed on a diffuse
         backlit surface (lightbox). The vehicles were painted matte black
         to minimise highlights. The images were captured using a CRS4000
         framestore connected to a vax 750. All images were captured with
         a spatial resolution of 128x128 pixels quantised to 64 greylevels.
         These images were thresholded to produce binary vehicle silhouettes,
         negated (to comply with the processing requirements of BINATTS) and
         thereafter subjected to shrink-expand-expand-shrink HIPS modules to
         remove ""salt and pepper"" image noise.
          The vehicles were rotated and their angle of orientation was measured
         using a radial graticule beneath the vehicle. 0 and 180 degrees
         corresponded to ""head on"" and ""rear"" views respectively while 90 and
         270 corresponded to profiles in opposite directions. Two sets of
         60 images, each set covering a full 360 degree rotation, were captured
         for each vehicle. The vehicle was rotated by a fixed angle between 
         images. These datasets are known as e2 and e3 respectively.
          A further two sets of images, e4 and e5, were captured with the camera 
         at elevations of 37.5 degs and 30.8 degs respectively. These sets
         also contain 60 images per vehicle apart from e4.van which contains
         only 46 owing to the difficulty of containing the van in the image
         at some orientations.
 
 ATTRIBUTES
         
         COMPACTNESS     (average perim)**2/area
         
         CIRCULARITY     (average radius)**2/area
         
         DISTANCE CIRCULARITY    area/(av.distance from border)**2
         
         RADIUS RATIO    (max.rad-min.rad)/av.radius
         
         PR.AXIS ASPECT RATIO    (minor axis)/(major axis)
         
         MAX.LENGTH ASPECT RATIO (length perp. max length)/(max length)
         
         SCATTER RATIO   (inertia about minor axis)/(inertia about major axis)
         
         ELONGATEDNESS           area/(shrink width)**2
         
         PR.AXIS RECTANGULARITY  area/(pr.axis length*pr.axis width)
         
         MAX.LENGTH RECTANGULARITY area/(max.length*length perp. to this)
         
         SCALED VARIANCE         (2nd order moment about minor axis)/area
         ALONG MAJOR AXIS
         
         SCALED VARIANCE         (2nd order moment about major axis)/area
         ALONG MINOR AXIS 
         
         SCALED RADIUS OF GYRATION       (mavar+mivar)/area
         
         SKEWNESS ABOUT  (3rd order moment about major axis)/sigma_min**3
         MAJOR AXIS
         
         SKEWNESS ABOUT  (3rd order moment about minor axis)/sigma_maj**3
         MINOR AXIS
                 
         KURTOSIS ABOUT  (4th order moment about major axis)/sigma_min**4
         MINOR AXIS  
                 
         KURTOSIS ABOUT  (4th order moment about minor axis)/sigma_maj**4
         MAJOR AXIS
         
         HOLLOWS RATIO   (area of hollows)/(area of bounding polygon)
         
          Where sigma_maj**2 is the variance along the major axis and
         sigma_min**2 is the variance along the minor axis, and
         
         area of hollows= area of bounding poly-area of object 
         
          The area of the bounding polygon is found as a side result of
         the computation to find the maximum length. Each individual
         length computation yields a pair of calipers to the object
         orientated at every 5 degrees. The object is propagated into
         an image containing the union of these calipers to obtain an
         image of the bounding polygon. 
         
 NUMBER OF CLASSES
 
         4       OPEL, SAAB, BUS, VAN
 
 NUMBER OF EXAMPLES
 
                 Total no. = 946
                 
                 No. in each class
                 
                   opel 240
                   saab 240
                   bus  240
                   van  226
                 
                 
                 100 examples are being kept by Strathclyde for validation.
                 So StatLog partners will receive 846 examples.
 
 NUMBER OF ATTRIBUTES
 
                 No. of atts. = 18","{'COMPACTNESS': 'COMPACTNESS', 'CIRCULARITY': 'CIRCULARITY', 'DISTANCE_CIRCULARITY': 'DISTANCE_CIRCULARITY', 'RADIUS_RATIO': 'RADIUS_RATIO', 'PR.AXIS_ASPECT_RATIO': 'PR.AXIS_ASPECT_RATIO', 'MAX.LENGTH_ASPECT_RATIO': 'MAX.LENGTH_ASPECT_RATIO', 'SCATTER_RATIO': 'SCATTER_RATIO', 'ELONGATEDNESS': 'ELONGATEDNESS', 'PR.AXIS_RECTANGULARITY': 'PR.AXIS_RECTANGULARITY', 'MAX.LENGTH_RECTANGULARITY': 'MAX.LENGTH_RECTANGULARITY', 'SCALED_VARIANCE_MAJOR': 'SCALED_VARIANCE_MAJOR', 'SCALED_VARIANCE_MINOR': 'SCALED_VARIANCE_MINOR', 'SCALED_RADIUS_OF_GYRATION': 'SCALED_RADIUS_OF_GYRATION', 'SKEWNESS_ABOUT_MAJOR': 'SKEWNESS_ABOUT_MAJOR', 'SKEWNESS_ABOUT_MINOR': 'SKEWNESS_ABOUT_MINOR', 'KURTOSIS_ABOUT_MAJOR': 'KURTOSIS_ABOUT_MAJOR', 'KURTOSIS_ABOUT_MINOR': 'KURTOSIS_ABOUT_MINOR', 'HOLLOWS_RATIO': 'HOLLOWS_RATIO'}",{},missing,missing,"TTT执行但预测未变；中等headroom；数据形态 small_<1.5k, mid_dim_11-50, multi_3-5, numeric_only。",data178/vehicle/info.json,False
volkert,持平,tie,tie_0pp,0.0,0.0,0.7511576058995026,0.7511576058995026,multiclass,multiclass,37318,9330,11662,58310,very_large_>=20k,very_large_>=10k,180,0,180,numeric_only,very_high_dim_>100,180,False,10,10,multi_6-10,False,9.409257898603968,high_3-10,openml,finance_credit;health_medical;chemistry_biology,False,0,5e-06,0.0,TTT未执行_OOM_or_skip,,TTT skipped for dataset=volkert to avoid OOM,https://www.openml.org/search?type=data&status=active&id=41166&sort=runs,41166,"SOURCE: [ChaLearn Automatic Machine Learning Challenge (AutoML)](https://competitions.codalab.org/competitions/2321), [ChaLearn](https://automl.chalearn.org/data) 

This is a ""supervised learning"" challenge in machine learning. We are making available 30 datasets, all pre-formatted in given feature representations (this means that each example consists of a fixed number of numerical coefficients). The challenge is to solve classification and regression problems, without any further human intervention.

The difficulty is that there is a broad diversity of data types and distributions (including balanced or unbalanced classes, sparse or dense feature representations, with or without missing values or categorical variables, various metrics of evaluation, various proportions of number of features and number of examples). The problems are drawn from a wide variety of domains and include medical diagnosis from laboratory analyses, speech recognition, credit rating, prediction or drug toxicity or efficacy, classification of text, prediction of customer satisfaction, object recognition, protein structure prediction, action recognition in video data, etc. While there exist machine learning toolkits including methods that can solve all these problems, it is still considerable human effort to find, for a given combination of dataset, task, metric of evaluation, and available computational time, the combination of methods and hyper-parameter setting that is best suited. Your challenge is to create the ""perfect black box"" eliminating the human in the loop.

This is a challenge with code submission: your code will be executed automatically on our servers to train and test your learning machines with unknown datasets. However, there is NO OBLIGATION TO SUBMIT CODE. Half of the prizes can be won by just submitting prediction results. There are six rounds (Prep, Novice, Intermediate, Advanced, Expert, and Master) in which datasets of progressive difficulty are introduced (5 per round). There is NO PREREQUISITE TO PARTICIPATE IN PREVIOUS ROUNDS to enter a new round. The rounds alternate AutoML phases in which submitted code is ""blind tested"" in limited time on our platform, using datasets you have never seen before, and Tweakathon phases giving you time to improve your methods by tweaking them on those datasets and running them on your own systems (without computational resource limitation).

NOTE: This dataset corresponds to one of the datasets of the challenge.","{'V1': 'V1', 'V2': 'V2', 'V3': 'V3', 'V4': 'V4', 'V5': 'V5', 'V6': 'V6', 'V7': 'V7', 'V8': 'V8', 'V9': 'V9', 'V10': 'V10', 'V11': 'V11', 'V12': 'V12', 'V13': 'V13', 'V14': 'V14', 'V15': 'V15', 'V16': 'V16', 'V17': 'V17', 'V18': 'V18', 'V19': 'V19', 'V20': 'V20', 'V21': 'V21', 'V22': 'V22', 'V23': 'V23', 'V24': 'V24', 'V25': 'V25', 'V26': 'V26', 'V27': 'V27', 'V28': 'V28', 'V29': 'V29', 'V30': 'V30', 'V31': 'V31', 'V32': 'V32', 'V33': 'V33', 'V34': 'V34', 'V35': 'V35', 'V36': 'V36', 'V37': 'V37', 'V38': 'V38', 'V39': 'V39', 'V40': 'V40', 'V41': 'V41', 'V42': 'V42', 'V43': 'V43', 'V44': 'V44', 'V45': 'V45', 'V46': 'V46', 'V47': 'V47', 'V48': 'V48', 'V49': 'V49', 'V50': 'V50', 'V51': 'V51', 'V52': 'V52', 'V53': 'V53', 'V54': 'V54', 'V55': 'V55', 'V56': 'V56', 'V57': 'V57', 'V58': 'V58', 'V59': 'V59', 'V60': 'V60', 'V61': 'V61', 'V62': 'V62', 'V63': 'V63', 'V64': 'V64', 'V65': 'V65', 'V66': 'V66', 'V67': 'V67', 'V68': 'V68', 'V69': 'V69', 'V70': 'V70', 'V71': 'V71', 'V72': 'V72', 'V73': 'V73', 'V74': 'V74', 'V75': 'V75', 'V76': 'V76', 'V77': 'V77', 'V78': 'V78', 'V79': 'V79', 'V80': 'V80', 'V81': 'V81', 'V82': 'V82', 'V83': 'V83', 'V84': 'V84', 'V85': 'V85', 'V86': 'V86', 'V87': 'V87', 'V88': 'V88', 'V89': 'V89', 'V90': 'V90', 'V91': 'V91', 'V92': 'V92', 'V93': 'V93', 'V94': 'V94', 'V95': 'V95', 'V96': 'V96', 'V97': 'V97', 'V98': 'V98', 'V99': 'V99', 'V100': 'V100', 'V101': 'V101', 'V102': 'V102', 'V103': 'V103', 'V104': 'V104', 'V105': 'V105', 'V106': 'V106', 'V107': 'V107', 'V108': 'V108', 'V109': 'V109', 'V110': 'V110', 'V111': 'V111', 'V112': 'V112', 'V113': 'V113', 'V114': 'V114', 'V115': 'V115', 'V116': 'V116', 'V117': 'V117', 'V118': 'V118', 'V119': 'V119', 'V120': 'V120', 'V121': 'V121', 'V122': 'V122', 'V123': 'V123', 'V124': 'V124', 'V125': 'V125', 'V126': 'V126', 'V127': 'V127', 'V128': 'V128', 'V129': 'V129', 'V130': 'V130', 'V131': 'V131', 'V132': 'V132', 'V133': 'V133', 'V134': 'V134', 'V135': 'V135', 'V136': 'V136', 'V137': 'V137', 'V138': 'V138', 'V139': 'V139', 'V140': 'V140', 'V141': 'V141', 'V142': 'V142', 'V143': 'V143', 'V144': 'V144', 'V145': 'V145', 'V146': 'V146', 'V147': 'V147', 'V148': 'V148', 'V149': 'V149', 'V150': 'V150', 'V151': 'V151', 'V152': 'V152', 'V153': 'V153', 'V154': 'V154', 'V155': 'V155', 'V156': 'V156', 'V157': 'V157', 'V158': 'V158', 'V159': 'V159', 'V160': 'V160', 'V161': 'V161', 'V162': 'V162', 'V163': 'V163', 'V164': 'V164', 'V165': 'V165', 'V166': 'V166', 'V167': 'V167', 'V168': 'V168', 'V169': 'V169', 'V170': 'V170', 'V171': 'V171', 'V172': 'V172', 'V173': 'V173', 'V174': 'V174', 'V175': 'V175', 'V176': 'V176', 'V177': 'V177', 'V178': 'V178', 'V179': 'V179', 'V180': 'V180'}",{},missing,missing,"持平主要因为 TTT未执行_OOM_or_skip，实际使用近似 ICL 输出；数据形态 very_large_>=20k, very_high_dim_>100, multi_6-10, numeric_only。",data178/volkert/info.json,False
walking-activity,持平,tie,tie_0pp,0.0,0.0,0.6750929119094653,0.6750929119094653,multiclass,multiclass,95572,23893,29867,149332,very_large_>=20k,very_large_>=10k,4,0,4,numeric_only,low_dim_<=10,4,False,22,22,class_gt10_ttt_skip_risk,False,,missing,openml,sensor_signal_activity;web_text_security,False,0,5e-06,0.7017345428466797,TTT未执行_class_count_gt10,stratified,stratified split | TTT training skipped because n_classes=22 exceeds model max_classes=10,https://www.openml.org/search?type=data&status=active&id=1509&sort=runs,1509,"**Author**: P. Casale, O. Pujol, P. Radeva.    
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/User+Identification+From+Walking+Activity)  
**Please cite**: Casale, P. Pujol, O. and Radeva, P. 'Personalization and user verification in wearable systems using biometric walking patterns' Personal and Ubiquitous Computing, 16(5), 563-580, 2012

**User Identification From Walking Activity Data Set**  
The dataset collects data from an Android smartphone positioned in the chest pocket. Accelerometer Data are collected from 22 participants walking in the wild over a predefined path. The dataset is intended for Activity Recognition research purposes. It provides challenges for identification and authentication of people using motion patterns. 

**Note: the original per-user datasets were joined into one dataset**

### Attribute Information  
Time-step, x acceleration, y acceleration, z acceleration  
Target: User ID.","{'V1': 'V1', 'V2': 'V2', 'V3': 'V3', 'V4': 'V4'}",{},missing,missing,"持平主要因为 TTT未执行_class_count_gt10，实际使用近似 ICL 输出；数据形态 very_large_>=20k, low_dim_<=10, class_gt10_ttt_skip_risk, numeric_only。",data178/walking-activity/info.json,False
wall-robot-navigation,持平,tie,tie_0pp,0.0,0.0,0.9935897435897436,0.9935897435897436,multiclass,multiclass,3491,873,1092,5456,medium_1.5k-5k,medium_500-2k,24,0,24,numeric_only,mid_dim_11-50,24,False,4,4,multi_3-5,False,6.722560975609756,high_3-10,openml,sensor_signal_activity,True,8,5e-06,33.00877809524536,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=1497&sort=runs,1497,"**Author**: Ananda Freire, Marcus Veloso and Guilherme Barreto     
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Wall-Following+Robot+Navigation+Data) - 2010  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)

**Wall-Following Robot Navigation Data Data Set**  
The data were collected as the SCITOS G5 robot navigates through the room following the wall in a clockwise direction, for 4 rounds, using 24 ultrasound sensors arranged circularly around its 'waist'.

The data consists of raw values of the measurements of all 24 ultrasound sensors and the corresponding class label. Sensor readings are sampled at a rate of 9 samples per second.

The class labels are:  
1. Move-Forward,  
2. Slight-Right-Turn,  
3. Sharp-Right-Turn,  
4. Slight-Left-Turn  

It is worth mentioning that the 24 ultrasound readings and the simplified distances were collected at the same time step, so each file has the same number of rows (one for each sampling time step). 

The wall-following task and data gathering were designed to test the hypothesis that this apparently simple navigation task is indeed a non-linearly separable classification task. Thus, linear classifiers, such as the Perceptron network, are not able to learn the task and command the robot around the room without collisions. Nonlinear neural classifiers, such as the MLP network, are able to learn the task and command the robot successfully without collisions. 

### Attribute Information:

1. US1: ultrasound sensor at the front of the robot (reference angle: 180°) 
2. US2: ultrasound reading (reference angle: -165°)
3. US3: ultrasound reading (reference angle: -150°)
4. US4: ultrasound reading (reference angle: -135°)
5. US5: ultrasound reading (reference angle: -120°)
6. US6: ultrasound reading (reference angle: -105°)
7. US7: ultrasound reading (reference angle: -90°)
8. US8: ultrasound reading (reference angle: -75°) 
9. US9: ultrasound reading (reference angle: -60°) 
10. US10: ultrasound reading (reference angle: -45°)
11. US11: ultrasound reading (reference angle: -30°) 
12. US12: ultrasound reading (reference angle: -15°)
13. US13: reading of ultrasound sensor situated at the back of the robot (reference angle: 0°) 
14. US14: ultrasound reading (reference angle: 15°)
15. US15: ultrasound reading (reference angle: 30°)
16. US16: ultrasound reading (reference angle: 45°)
17. US17: ultrasound reading (reference angle: 60°)
18. US18: ultrasound reading (reference angle: 75°)
19. US19: ultrasound reading (reference angle: 90°)
20. US20: ultrasound reading (reference angle: 105°)
21. US21: ultrasound reading (reference angle: 120°)
22. US22: ultrasound reading (reference angle: 135°)
23. US23: ultrasound reading (reference angle: 150°)
24. US24: ultrasound reading (reference angle: 165°)


### Relevant Papers

Ananda L. Freire, Guilherme A. Barreto, Marcus Veloso and Antonio T. Varela (2009), 'Short-Term Memory Mechanisms in Neural Network Learning of Robot Navigation Tasks: A Case Study'. Proceedings of the 6th Latin American Robotics Symposium (LARS'2009), pages 1-6","{'V1': 'V1', 'V2': 'V2', 'V3': 'V3', 'V4': 'V4', 'V5': 'V5', 'V6': 'V6', 'V7': 'V7', 'V8': 'V8', 'V9': 'V9', 'V10': 'V10', 'V11': 'V11', 'V12': 'V12', 'V13': 'V13', 'V14': 'V14', 'V15': 'V15', 'V16': 'V16', 'V17': 'V17', 'V18': 'V18', 'V19': 'V19', 'V20': 'V20', 'V21': 'V21', 'V22': 'V22', 'V23': 'V23', 'V24': 'V24'}",{},missing,missing,"TTT执行但预测未变；高基线接近天花板；数据形态 medium_1.5k-5k, mid_dim_11-50, multi_3-5, numeric_only。",data178/wall-robot-navigation/info.json,False
website_phishing,持平,tie,tie_0pp,0.0,0.0,0.92619926199262,0.92619926199262,multiclass,multiclass,865,217,271,1353,small_<1.5k,small_<500,0,9,9,categorical_only,low_dim_<=10,9,False,3,3,multi_3-5,False,,missing,uci,web_text_security,True,8,5e-06,11.378435373306274,TTT执行,stratified,stratified split,https://archive.ics.uci.edu/dataset/379/website+phishing,missing,"The phishing problem is considered a vital issue in .COM industry especially e-banking and e-commerce taking the number of online transactions involving payments. We have identified different features related to legitimate and phishy websites and collected 1353 different websites from difference sources. We collected 548 legitimate websites out of 1353 websites. There is 702 phishing URLs, and 103 suspicious URLs.",missing,missing,"{'SFH': 'if having server-side request forgery.', 'popUpWidnow': 'if popping up widnow.', 'SSLfinal_State': 'SSL final state.', 'Request_URL': 'request URL class.', 'URL_of_Anchor': 'URL of anchor class.', 'web_traffic': 'web traffic.', 'URL_Length': 'URL length.', 'age_of_domain': 'age of domain.', 'having_IP_Address': 'if having IP address.'}",{'Result': 'website class (1=Legitimate; 0=Suspicious; -1=Phishy) .'},"TTT执行但预测未变；中等headroom；数据形态 small_<1.5k, low_dim_<=10, multi_3-5, categorical_only。",data178/website_phishing/info.json,False
yeast,持平,tie,tie_0pp,0.0,0.0,0.6363636363636364,0.6363636363636364,multiclass,multiclass,949,238,297,1484,small_<1.5k,small_<500,8,0,8,numeric_only,low_dim_<=10,8,False,10,10,multi_6-10,False,92.6,extreme_>10,openml,chemistry_biology,True,8,5e-06,11.49792742729187,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=181&sort=runs,181,"**Author**:   
**Source**: Unknown -   
**Please cite**:","{'mcg': 'mcg', 'gvh': 'gvh', 'alm': 'alm', 'mit': 'mit', 'erl': 'erl', 'pox': 'pox', 'vac': 'vac', 'nuc': 'nuc'}",{},missing,missing,"TTT执行但预测未变；低基线/高难度；数据形态 small_<1.5k, low_dim_<=10, multi_6-10, numeric_only。",data178/yeast/info.json,False
mobile_c36_oversampling,ICLv2更高,iclv2_ensmble32,weak_loss_<0.2pp,-0.009659969088082754,-0.9999999999983267,0.9943006182380216,0.9942040185471408,binclass,binclass,33126,8282,10352,51760,very_large_>=20k,very_large_>=10k,6,0,6,numeric_only,low_dim_<=10,6,False,2,2,binary,False,,missing,uci,sensor_signal_activity,True,8,5e-06,958.9253296852112,TTT执行,stratified,stratified split,https://archive.ics.uci.edu/dataset/755/accelerometer+gyro+mobile+phone+dataset,missing,missing,missing,missing,missing,missing,"TTT step8 下降 -0.0097 pp；TTT执行；高基线接近天花板；数据形态 very_large_>=20k, low_dim_<=10, binary, numeric_only，建议保护式选择。",data178/mobile_c36_oversampling/info.json,False
default_of_credit_card_clients,ICLv2更高,iclv2_ensmble32,weak_loss_<0.2pp,-0.016666666666675933,-1.000000000000556,0.8271666666666667,0.827,binclass,binclass,19200,4800,6000,30000,large_5k-20k,large_2k-10k,14,9,23,mixed_num_cat,mid_dim_11-50,23,False,2,2,binary,False,,missing,uci,finance_credit,True,8,5e-06,520.0530068874359,TTT执行,stratified,stratified split,https://archive.ics.uci.edu/dataset/350/default+of+credit+card+clients,missing,missing,missing,missing,missing,missing,"TTT step8 下降 -0.0167 pp；TTT执行；中等headroom；数据形态 large_5k-20k, mid_dim_11-50, binary, mixed_num_cat，建议保护式选择。",data178/default_of_credit_card_clients/info.json,False
